,sim_times_s,volumes_cm3,i_poke
556,0.9450000000000083,4.035557594761485e-06,1
557,0.946666666666675,4.0355525925406255e-06,1
558,0.9483333333333417,4.0355603232455906e-06,1
559,0.9500000000000084,4.03555486627738e-06,1
560,0.9516666666666751,4.035554411530029e-06,1
561,0.9533333333333418,4.035559413750889e-06,1
562,0.9550000000000085,4.035971869598143e-06,1
563,0.9566666666666752,4.036366590298712e-06,1
564,0.9583333333333419,4.0367981455347035e-06,1
565,0.9600000000000086,4.037173766846536e-06,1
566,0.9616666666666753,4.037582129967632e-06,1
567,0.963333333333342,4.038862698507728e-06,1
568,0.9650000000000087,4.0382760744250845e-06,1
569,0.9666666666666754,4.039212853967911e-06,1
570,0.9683333333333421,4.03924832426128e-06,1
571,0.9700000000000089,4.039999112137593e-06,1
572,0.9716666666666756,4.0401623664365616e-06,1
573,0.9733333333333423,4.040388830617303e-06,1
574,0.975000000000009,4.0409959183307365e-06,1
575,0.9766666666666757,4.0412319322058465e-06,1
576,0.9783333333333424,4.041778083774261e-06,1
577,0.9800000000000091,4.042131877213251e-06,1
578,0.9816666666666758,4.042569344164804e-06,1
579,0.9833333333333425,4.042995442432584e-06,1
580,0.9850000000000092,4.0433910726278555e-06,1
581,0.9866666666666759,4.04380898544332e-06,1
582,0.9883333333333426,4.044223715027329e-06,1
583,0.9900000000000093,4.044614797749091e-06,1
584,0.991666666666676,4.0450290725857485e-06,1
585,0.9933333333333427,4.045447440148564e-06,1
586,0.9950000000000094,4.0458780858898535e-06,1
587,0.9966666666666761,4.046300091431476e-06,1
588,0.9983333333333428,4.046749836561503e-06,1
589,1.0000000000000095,4.0471641113981605e-06,1
590,1.0016666666666763,4.0475924834026955e-06,1
591,1.003333333333343,4.0480013012711424e-06,1
592,1.0050000000000097,4.0484455894329585e-06,1
593,1.0066666666666764,4.048891696584178e-06,1
594,1.008333333333343,4.049288236274151e-06,1
595,1.0100000000000098,4.049732069688616e-06,1
596,1.0116666666666765,4.050196821481222e-06,1
597,1.0133333333333432,4.050723418913549e-06,1
598,1.01500000000001,4.0511895349482074e-06,1
599,1.0166666666666766,4.051647920277901e-06,1
600,1.0183333333333433,4.052156782563543e-06,1
